,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
74,030e671c-d839-4baf-a02e-b7235e7ebddb,11,11,97220149,EDGE1,ReLU,77710,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
75,030e671c-d839-4baf-a02e-b7235e7ebddb,12,11,97220149,EDGE1,MaxPool2d,341723,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
76,030e671c-d839-4baf-a02e-b7235e7ebddb,13,11,97220149,EDGE1,AdaptiveAvgPool2d,396188,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
77,030e671c-d839-4baf-a02e-b7235e7ebddb,14,11,97220149,EDGE1,Dropout,31183,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
78,030e671c-d839-4baf-a02e-b7235e7ebddb,15,11,97220149,EDGE1,Linear,8947516,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
79,030e671c-d839-4baf-a02e-b7235e7ebddb,16,11,97220149,EDGE1,ReLU,54806,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
80,030e671c-d839-4baf-a02e-b7235e7ebddb,17,11,97220149,EDGE1,Dropout,35783,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
81,030e671c-d839-4baf-a02e-b7235e7ebddb,18,11,97220149,EDGE1,Linear,3855520,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
82,030e671c-d839-4baf-a02e-b7235e7ebddb,19,11,97220149,EDGE1,ReLU,49406,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
83,030e671c-d839-4baf-a02e-b7235e7ebddb,20,11,97220149,EDGE1,Linear,1090523,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
84,032cf705-54cc-418a-9da0-cf3a360c894b,0,16,178597765,CLIENT1,Conv2d,15752136,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
85,032cf705-54cc-418a-9da0-cf3a360c894b,1,16,178597765,CLIENT1,ReLU,572491,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
86,032cf705-54cc-418a-9da0-cf3a360c894b,2,16,178597765,CLIENT1,MaxPool2d,2005820,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
87,032cf705-54cc-418a-9da0-cf3a360c894b,3,16,178597765,CLIENT1,Conv2d,22869078,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
88,032cf705-54cc-418a-9da0-cf3a360c894b,4,16,178597765,CLIENT1,ReLU,354679,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
89,032cf705-54cc-418a-9da0-cf3a360c894b,5,16,178597765,CLIENT1,MaxPool2d,1423718,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
90,032cf705-54cc-418a-9da0-cf3a360c894b,6,16,178597765,CLIENT1,Conv2d,11913254,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
91,032cf705-54cc-418a-9da0-cf3a360c894b,7,16,178597765,CLIENT1,ReLU,192849,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
92,032cf705-54cc-418a-9da0-cf3a360c894b,8,16,178597765,CLIENT1,Conv2d,15799321,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
93,032cf705-54cc-418a-9da0-cf3a360c894b,9,16,178597765,CLIENT1,ReLU,149794,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
