,inference_id,split_layer,total_inference_time_ns
157,d8ad41e3-4b3e-4405-8312-2a42ccde8896,2,71110569
158,d9f42256-5c30-4cd0-90f1-512fe6512cfa,7,97922531
159,da273f80-b721-472f-83d5-139ed36b004c,2,64889974
160,dc22d44d-ce42-483f-bbf0-d8387221ddc7,14,132101256
161,dd0d02c7-293b-4d4c-b06e-926b511a16cc,10,115047195
162,df7f1a24-77a0-4b66-8300-0fe8273aa602,1,79904805
163,e14e278e-b5f1-4dec-a0c6-d541742a0814,3,67598534
164,e2d87244-d135-4ad8-af71-179cedbd9872,19,269865970
165,e38d62ed-0260-4b66-a094-092b44f6e3b6,2,72047448
166,e3d217d5-9cfd-4247-9e7f-6421f2b8b5ac,12,127192276
167,e5a7883f-a3d3-4062-ae35-f6bacd1cbbf3,11,124456987
168,e5b6a2da-5e01-4821-bf8d-89ea864d4a00,1,87484396
169,e5d68a99-944d-412c-8841-4c361820041d,7,119331508
170,e5e50a95-9541-495e-8dbe-c5eb722c93c8,7,119073229
171,e7ba0641-c633-4c13-82bd-6341598613e9,14,133813323
172,e8635eb7-7ffa-4c3b-88c1-ec9f86fb9df8,9,111324742
173,ebe623f2-b373-40b0-a815-7eeb47b0287f,18,210147111
174,ed69b5ae-3e89-40ac-b41f-d9eb3433ab6c,19,269908942
175,ee40e7a3-0374-48ba-bf3a-4d65ba86c3c9,18,210047717
176,f07cf560-eb0f-4ea2-b6b3-e8d37dee6906,12,127763194
177,f1238907-576f-42ea-a16c-3bb2d5dd0dc0,19,269024074
178,f196e5fa-11e2-4dfc-bf5a-b8cc6bd1e911,8,103497788
179,f1e498c9-048c-480d-8bc2-915dbaf38c63,5,89930165
180,f2cd1d8d-2081-42d5-9a58-9972054e3248,7,125743970
181,f420dc51-1446-4898-9f50-0e48fa286419,9,114533369
182,f4580a9d-3c98-4d6b-a62c-bbbdf2571066,2,110807918
183,f52313a4-cc32-427c-8943-c4804a905bea,19,271188628
184,f74b5c36-d99b-4349-839f-b28704f17ccc,6,90495370
185,f8eb89c5-2836-46d8-8951-fb8bab1bca13,8,123065910
186,fc6eb658-2573-44d6-bfc2-416f04f655a2,11,122487539
187,fd75a1e5-6c4e-42b0-9106-be5a67ba49d6,7,97872863
188,fe440485-9e1c-4391-8641-a61913ce0cf1,15,132602605
189,feac47ea-e136-4242-a6c5-f52a2622f697,15,131739361
